fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2012,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Pacific Science Center Lease Reserve,0,120000
2012,Administration,Finance General,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Puget Sound Clean Air Agency,0,408493
2012,Administration,Finance General,Reserves,Recurring Reserve-Shooting Review Board Civilian,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Shooting Review Board Civilian,0,5000
2012,Administration,Finance General,Reserves,Recurring Reserve-State Examiner,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-State Examiner,0,746970.9311
2012,Administration,Finance General,Reserves,Recurring Reserve-Street Lighting,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Street Lighting,0,12250273
2012,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,0,3100000
2012,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration,0,988380
2012,Administration,Finance General,Reserves,Refugee and Immigrant Youth Program,General Fund,Tax-Supported Fund,Operating Expense,Refugee and Immigrant Youth Program,0,0
2012,Administration,Finance General,Reserves,Retirement Benefit Study,General Fund,Tax-Supported Fund,Operating Expense,Retirement Benefit Study,0,0
2012,Administration,Finance General,Reserves,Seattle Arts and Culture Capital Award,General Fund,Tax-Supported Fund,Operating Expense,Seattle Arts and Culture Capital Award,0,0
2012,Administration,Finance General,Reserves,Seattle Indian Services Commission,General Fund,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission,0,50000
2012,Administration,Finance General,Reserves,Tax Refund Interest Reserve,General Fund,Tax-Supported Fund,Operating Expense,Tax Refund Interest Reserve,0,497000
2012,Administration,Finance General,Reserves,Transportation Reserve from Rubble Yard Proceeds,General Fund,Tax-Supported Fund,Operating Expense,Transportation Reserve from Rubble Yard Proceeds,0,8100000
2012,Administration,Finance General,Reserves,University of Washington Reserve,General Fund,Tax-Supported Fund,Operating Expense,University of Washington Reserve,0,500000
2012,Administration,Finance General,Support to Community Development,African Chamber of Commerce,General Fund,Tax-Supported Fund,Operating Expense,African Chamber of Commerce,0,0
2012,Administration,Finance General,Support to Community Development,Chinese Garden Reserve,General Fund,Tax-Supported Fund,Operating Expense,Chinese Garden Reserve,0,0
2012,Administration,Finance General,Support to Community Development,Rainier Vista Boys and Girls Club,General Fund,Tax-Supported Fund,Operating Expense,Rainier Vista Boys and Girls Club,0,0
2012,Administration,Finance General,Support to Community Development,School District Site Reserve,General Fund,Tax-Supported Fund,Operating Expense,School District Site Reserve,0,0
2012,Administration,Finance General,Support to Community Development,Sound Transit Local Contribution - Sales Tax Offset,General Fund,Tax-Supported Fund,Operating Expense,Sound Transit Local Contribution - Sales Tax Offset,0,0
2012,Administration,Finance General,Support to Community Development,Wing Luke Asian Museum,General Fund,Tax-Supported Fund,Operating Expense,Wing Luke Asian Museum,0,0
2012,Administration,Finance General,Support to Operating Funds,Drainage and Wastewater Fund,General Fund,Tax-Supported Fund,Operating Expense,Drainage and Wastewater Fund,0,1205361.028
2012,Administration,Finance General,Support to Operating Funds,Firefighters Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Firefighters Pension Fund,0,18874972.34
2012,Administration,Finance General,Support to Operating Funds,Housing and Economic Development Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing and Economic Development Fund,0,0
2012,Administration,Finance General,Support to Operating Funds,Human Services Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Human Services Operating Fund,0,54352239.21
2012,Administration,Finance General,Support to Operating Funds,Library Fund,General Fund,Tax-Supported Fund,Operating Expense,Library Fund,0,49324619.57
2012,Administration,Finance General,Support to Operating Funds,Low Income Housing Fund,General Fund,Tax-Supported Fund,Operating Expense,Low Income Housing Fund,0,46462
2012,Administration,Finance General,Support to Operating Funds,Neighborhood Matching Subfund,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Matching Subfund,0,2779021.542
2012,Administration,Finance General,Support to Operating Funds,Parks and Recreation Fund,General Fund,Tax-Supported Fund,Operating Expense,Parks and Recreation Fund,0,81463579.54
2012,Administration,Finance General,Support to Operating Funds,Planning and Development Fund,General Fund,Tax-Supported Fund,Operating Expense,Planning and Development Fund,0,9195692.776
2012,Administration,Finance General,Support to Operating Funds,Police Relief and Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Police Relief and Pension Fund,0,21312128
2012,Administration,Finance General,Support to Operating Funds,Seattle Center Fund,General Fund,Tax-Supported Fund,Operating Expense,Seattle Center Fund,0,12875760.16
2012,Administration,Finance General,Support to Operating Funds,Solid Waste Fund,General Fund,Tax-Supported Fund,Operating Expense,Solid Waste Fund,0,0.31
2012,Administration,Finance General,Support to Operating Funds,Water Fund,General Fund,Tax-Supported Fund,Operating Expense,Water Fund,0,0
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Arts Account - Admission Tax for Art Programs,General Fund,Tax-Supported Fund,Operating Expense,Arts Account - Admission Tax for Art Programs,0,4176142.792
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Capital Projects Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Capital Projects Account,0,0
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Revenue Stabilization Account,0,750000
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Emergency Subfund,General Fund,Tax-Supported Fund,Operating Expense,Emergency Subfund,0,0
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Finance and Administrative Services Fund,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administrative Services Fund,0,20865694
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Fleets and Facilities Fund,General Fund,Tax-Supported Fund,Operating Expense,Fleets and Facilities Fund,0,0.0914
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,General Bond Interest/Redemption Fund,General Fund,Tax-Supported Fund,Operating Expense,General Bond Interest/Redemption Fund,0,11151646.98
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Housing Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing Operating Fund,0,520490
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Information Technology Fund,General Fund,Tax-Supported Fund,Operating Expense,Information Technology Fund,0,4273881.798
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Insurance,General Fund,Tax-Supported Fund,Operating Expense,Insurance,0,4725000.13
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Judgment/Claims Subfund,General Fund,Tax-Supported Fund,Operating Expense,Judgment/Claims Subfund,0,1191062
2011,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Transportation Fund - Parks Charter Revenue Transfer,General Fund,Tax-Supported Fund,Operating Expense,Transportation Fund - Parks Charter Revenue Transfer,0,0
2011,Administration,Finance General,Reserves,Census Awareness and Participation Reserve,General Fund,Tax-Supported Fund,Operating Expense,Census Awareness and Participation Reserve,0,0
2011,Administration,Finance General,Reserves,Food Policy Work Coordination,General Fund,Tax-Supported Fund,Operating Expense,Food Policy Work Coordination,0,65000
2011,Administration,Finance General,Reserves,Get Engaged: City Boards and Commissions,General Fund,Tax-Supported Fund,Operating Expense,Get Engaged: City Boards and Commissions,0,31334.4
2011,Administration,Finance General,Reserves,Personnel Services Study,General Fund,Tax-Supported Fund,Operating Expense,Personnel Services Study,0,200000
2011,Administration,Finance General,Reserves,Recurring Reserve Employee Hour Tax,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve Employee Hour Tax,0,0
2011,Administration,Finance General,Reserves,Recurring Reserve for Portable Art Rental and Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve for Portable Art Rental and Maintenance,0,256743.1588
2011,Administration,Finance General,Reserves,Recurring Reserve-Dues/Memberships,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Dues/Memberships,0,14100.48
2011,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,0,1000000
2011,Administration,Finance General,Reserves,Recurring Reserve-Fire Hydrants,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Fire Hydrants,0,6605784
2011,Administration,Finance General,Reserves,Recurring Reserve-Health Care Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Health Care Reserve,0,0
2011,Administration,Finance General,Reserves,Recurring Reserve-Industrial Insurance Pensions Payout,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Industrial Insurance Pensions Payout,0,2500000
2011,Administration,Finance General,Reserves,Recurring Reserve-Legal Advertisements,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Legal Advertisements,0,0
2011,Administration,Finance General,Reserves,Recurring Reserve-Office of Professional Accountability Auditor,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Office of Professional Accountability Auditor,0,143000
2011,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Pacific Science Center Lease Reserve,0,120000
2011,Administration,Finance General,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Puget Sound Clean Air Agency,0,400000
2011,Administration,Finance General,Reserves,Recurring Reserve-Shooting Review Board Civilian,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Shooting Review Board Civilian,0,5000
2011,Administration,Finance General,Reserves,Recurring Reserve-State Examiner,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-State Examiner,0,693108.756
2011,Administration,Finance General,Reserves,Recurring Reserve-Street Lighting,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Street Lighting,0,11796471
2011,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,0,3135000
2011,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration,0,969000
2011,Administration,Finance General,Reserves,Refugee and Immigrant Youth Program,General Fund,Tax-Supported Fund,Operating Expense,Refugee and Immigrant Youth Program,0,0
2011,Administration,Finance General,Reserves,Retirement Benefit Study,General Fund,Tax-Supported Fund,Operating Expense,Retirement Benefit Study,0,250000
